datetime;Rs;u2;Tmax;Tmin;RH;pr;ETo
2000-01-01;27.9;2.7;30.0;15.0;53.3;0.0;6.6
2000-01-02;29.2;2.8;31.2;15.3;49.3;0.0;7.2
2000-01-03;29.8;4.3;31.0;14.0;46.8;0.0;8.2
2000-01-04;25.2;1.8;32.7;14.7;52.3;0.0;6.1
2000-01-05;27.5;1.2;34.6;18.7;48.4;0.0;6.3
2000-01-06;29.6;1.3;36.2;18.9;41.2;0.0;6.9
2000-01-07;29.8;1.5;36.2;19.8;43.0;0.0;7.2
2000-01-08;27.0;1.6;38.2;19.5;55.4;0.0;6.9
2000-01-09;21.3;3.0;38.2;22.2;71.9;10.2;6.3
2000-01-10;23.5;2.2;35.2;20.7;70.1;21.8;5.9
2000-01-11;25.5;1.0;37.1;19.8;60.2;20.7;6.0
2000-01-12;20.8;0.8;34.3;21.0;67.3;0.0;4.7
2000-01-13;25.1;1.2;36.2;22.1;65.2;5.4;5.9
2000-01-14;11.1;1.5;30.1;21.6;84.3;6.4;2.8
2000-01-15;19.2;1.5;30.7;20.9;73.9;31.4;4.4
2000-01-16;20.5;1.2;34.2;20.8;79.6;16.1;4.7
2000-01-17;12.1;1.5;27.8;22.4;81.8;5.6;2.9
2000-01-18;26.0;2.1;31.1;20.0;63.2;0.4;6.0
2000-01-19;29.5;1.4;30.7;18.2;55.9;0.0;6.2
2000-01-20;29.0;1.2;32.2;17.8;55.7;0.0;6.1
2000-01-21;26.2;1.4;35.9;20.7;51.9;0.0;6.4
2000-01-22;13.5;2.6;28.9;20.1;69.7;0.3;4.0
2000-01-23;19.4;3.0;28.6;18.2;71.2;0.0;4.8
2000-01-24;23.0;2.3;29.7;17.0;59.2;0.0;5.5
2000-01-25;26.9;4.1;29.8;18.0;59.0;3.5;6.8
2000-01-26;28.8;2.8;28.3;16.2;53.9;0.0;6.5
2000-01-27;28.8;2.0;28.8;15.4;55.8;0.0;6.0
2000-01-28;28.3;1.9;30.3;17.2;51.0;0.0;6.3
2000-01-29;28.4;1.5;33.3;17.9;54.8;0.0;6.3
2000-01-30;11.0;1.0;28.7;21.0;81.8;0.0;2.7
2000-01-31;12.5;1.6;23.3;17.9;88.4;29.0;2.5
2000-02-01;12.6;1.2;28.4;20.7;79.6;14.0;3.0
2000-02-02;19.5;1.2;29.1;19.0;71.0;1.8;4.2
2000-02-03;11.1;1.5;27.5;18.2;86.9;0.0;2.5
2000-02-04;24.9;1.5;29.2;18.2;64.0;6.0;5.2
2000-02-05;26.0;1.5;31.3;16.4;57.6;0.0;5.6
2000-02-06;28.4;1.5;32.3;17.9;59.3;0.0;6.1
2000-02-07;27.2;1.9;30.4;18.4;59.8;0.0;6.0
2000-02-08;24.1;1.4;31.9;17.0;70.2;0.0;5.1
2000-02-09;15.3;1.6;31.9;19.8;85.6;10.0;3.5
2000-02-10;26.8;1.2;31.7;16.8;69.4;33.8;5.4
2000-02-11;18.2;1.0;30.4;18.5;65.0;0.0;4.1
2000-02-12;25.1;1.4;36.3;20.3;64.9;0.0;5.9
2000-02-13;12.0;1.8;27.2;18.8;77.3;25.2;3.0
2000-02-14;10.2;3.6;23.1;17.6;70.2;0.0;3.3
2000-02-15;16.6;2.8;24.9;17.4;64.7;0.0;4.2
2000-02-16;26.7;3.3;25.6;14.7;62.8;0.0;5.5
2000-02-17;24.1;2.4;26.3;15.1;60.1;0.0;5.1
2000-02-18;26.2;2.2;29.2;15.5;56.9;0.0;5.7
2000-02-19;22.8;1.3;30.8;17.3;56.5;0.0;4.9
2000-02-20;17.5;1.1;28.9;17.7;61.9;0.0;3.9
2000-02-21;22.5;0.9;31.4;18.4;66.6;0.0;4.6
2000-02-22;19.1;1.1;29.4;18.2;70.0;3.2;4.0
2000-02-23;25.3;1.1;31.3;17.1;64.1;1.3;5.1
2000-02-24;21.9;1.1;33.8;18.9;56.7;0.0;4.9
2000-02-25;11.0;1.4;29.6;20.5;72.1;0.0;3.0
2000-02-26;9.9;1.1;24.3;20.1;86.3;6.6;2.2
2000-02-27;19.6;3.1;33.9;21.3;75.1;24.2;5.1
2000-02-28;12.5;2.0;25.4;19.5;73.1;12.2;3.1
2000-02-29;22.0;2.2;25.6;14.4;63.2;0.0;4.5
2000-03-01;12.9;3.3;24.9;15.1;77.9;0.0;3.2
